# 旁白脚本 — 四年级数学·分数的初步认识
# 格式：[开始秒] 旁白内容（供 TTS 或人工录音使用）

[00] 同学们好，今天我们来学习——分数的初步认识。

[05] 想象一下：把一个苹果，平均分给两个小朋友，每人能得到多少呢？
[08] 每人得到的，不是一个完整的苹果……我们用什么来表示？

[11] 把一个圆平均分成两份，每一份就是这个圆的——二分之一。
[14] 注意，高亮的那一半，就是整体的二分之一。
[16] 写作：1 除以 2，读作：二分之一。

[19] 分数由三部分组成：
[20] 上面的数叫"分子"，表示我们取了几份；
[21] 中间的横线叫"分数线"，表示平均分；
[22] 下面的数叫"分母"，表示一共平均分成几份。

[26] 我们再来认识几个分数。
[27] 三分之一——把整体分成三份，取其中一份；
[27] 四分之二——分成四份，取两份；
[28] 四分之三——分成四份，取三份；
[28] 二分之一——分成两份，取一份。

[34] 本节课的重点来啦！
[35] 第一：分数的前提是平均分，每份必须相等。
[35] 第二：分子在上，分母在下，分数线表示平均分。
[36] 第三：分母相同时，分子越大分数越大；分子相同时，分母越大分数越小。
[38] 课后想一想：½ 和 ¼ 哪个大？为什么？下节课见！
